1000	0	1	999
1000	0	2	999
1000	0	3	999
2000	0	1	1999
2000	0	2	1999
2000	0	3	1999
3000	0	1	2999
3000	0	2	2999
3000	0	3	2999
4000	0	1	3999
4000	0	2	3999
4000	0	3	3999
5000	0	1	4999
5000	0	2	4999
5000	0	3	4999
6000	0	1	5999
6000	0	2	5999
6000	0	3	5999
7000	0	1	6999
7000	0	2	6999
7000	0	3	6999
8000	0	1	7999
8000	0	2	7999
8000	0	3	7999
9000	0	1	8999
9000	0	2	8999
9000	0	3	8999
10000	0	1	9999
10000	0	2	9999
10000	0	3	9999
11000	0	1	10999
11000	0	2	10999
11000	0	3	10999
12000	0	1	11999
12000	0	2	11999
12000	0	3	11999
13000	0	1	12999
13000	0	2	12999
13000	0	3	12999
14000	0	1	13999
14000	0	2	13999
14000	0	3	13999
15000	0	1	14999
15000	0	2	14999
15000	0	3	14999
16000	0	1	15999
16000	0	2	15999
16000	0	3	15999
17000	0	1	16999
17000	0	2	16999
17000	0	3	16999
18000	0	1	17999
18000	0	2	17999
18000	0	3	17999
19000	0	1	18999
19000	0	2	18999
19000	0	3	18999
20000	0	1	19999
20000	0	2	19999
20000	0	3	19999
21000	0	1	20999
21000	0	2	20999
21000	0	3	20999
22000	0	1	21999
22000	0	2	21999
22000	0	3	21999
23000	0	1	22999
23000	0	2	22999
23000	0	3	22999
24000	0	1	23999
24000	0	2	23999
24000	0	3	23999
25000	0	1	24999
25000	0	2	24999
25000	0	3	24999
26000	0	1	25999
26000	0	2	25999
26000	0	3	25999
27000	0	1	26999
27000	0	2	26999
27000	0	3	26999
28000	0	1	27999
28000	0	2	27999
28000	0	3	27999
29000	0	1	28999
29000	0	2	28999
29000	0	3	28999
30000	0	1	29999
30000	0	2	29999
30000	0	3	29999
31000	0	1	30999
31000	0	2	30999
31000	0	3	30999
32000	0	1	31999
32000	0	2	31999
32000	0	3	31999
33000	0	1	32999
33000	0	2	32999
33000	0	3	32999
34000	0	1	33999
34000	0	2	33999
34000	0	3	33999
35000	0	1	34999
35000	0	2	34999
35000	0	3	34999
36000	0	1	35999
36000	0	2	35999
36000	0	3	35999
37000	0	1	36999
37000	0	2	36999
37000	0	3	36999
38000	0	1	37999
38000	0	2	37999
38000	0	3	37999
39000	0	1	38999
39000	0	2	38999
39000	0	3	38999
40000	0	1	39999
40000	0	2	39999
40000	0	3	39999
41000	0	1	40999
41000	0	2	40999
41000	0	3	40999
42000	0	1	41999
42000	0	2	41999
42000	0	3	41999
43000	0	1	42999
43000	0	2	42999
43000	0	3	42999
44000	0	1	43999
44000	0	2	43999
44000	0	3	43999
45000	0	1	44999
45000	0	2	44999
45000	0	3	44999
46000	0	1	45999
46000	0	2	45999
46000	0	3	45999
47000	0	1	46999
47000	0	2	46999
47000	0	3	46999
48000	0	1	47999
48000	0	2	47999
48000	0	3	47999
49000	0	1	48999
49000	0	2	48999
49000	0	3	48999
50000	0	1	49999
50000	0	2	49999
50000	0	3	49999
51000	0	1	50999
51000	0	2	50999
51000	0	3	50999
52000	0	1	51999
52000	0	2	51999
52000	0	3	51999
53000	0	1	52999
53000	0	2	52999
53000	0	3	52999
54000	0	1	53999
54000	0	2	53999
54000	0	3	53999
55000	0	1	54999
55000	0	2	54999
55000	0	3	54999
56000	0	1	55999
56000	0	2	55999
56000	0	3	55999
57000	0	1	56999
57000	0	2	56999
57000	0	3	56999
58000	0	1	57999
58000	0	2	57999
58000	0	3	57999
59000	0	1	58999
59000	0	2	58999
59000	0	3	58999
60000	0	1	59999
60000	0	2	59999
60000	0	3	59999
61000	0	1	60999
61000	0	2	60999
61000	0	3	60999
62000	0	1	61999
62000	0	2	61999
62000	0	3	61999
63000	0	1	62999
63000	0	2	62999
63000	0	3	62999
64000	0	1	63999
64000	0	2	63999
64000	0	3	63999
65000	0	1	64999
65000	0	2	64999
65000	0	3	64999
66000	0	1	65999
66000	0	2	65999
66000	0	3	65999
67000	0	1	66999
67000	0	2	66999
67000	0	3	66999
68000	0	1	67999
68000	0	2	67999
68000	0	3	67999
69000	0	1	68999
69000	0	2	68999
69000	0	3	68999
70000	0	1	69999
70000	0	2	69999
70000	0	3	69999
71000	0	1	70999
71000	0	2	70999
71000	0	3	70999
72000	0	1	71999
72000	0	2	71999
72000	0	3	71999
73000	0	1	72999
73000	0	2	72999
73000	0	3	72999
74000	0	1	73999
74000	0	2	73999
74000	0	3	73999
75000	0	1	74999
75000	0	2	74999
75000	0	3	74999
76000	0	1	75999
76000	0	2	75999
76000	0	3	75999
77000	0	1	76999
77000	0	2	76999
77000	0	3	76999
78000	0	1	77999
78000	0	2	77999
78000	0	3	77999
79000	0	1	78999
79000	0	2	78999
79000	0	3	78999
80000	0	1	79999
80000	0	2	79999
80000	0	3	79999
81000	0	1	80999
81000	0	2	80999
81000	0	3	80999
82000	0	1	81999
82000	0	2	81999
82000	0	3	81999
83000	0	1	82999
83000	0	2	82999
83000	0	3	82999
84000	0	1	83999
84000	0	2	83999
84000	0	3	83999
85000	0	1	84999
85000	0	2	84999
85000	0	3	84999
86000	0	1	85999
86000	0	2	85999
86000	0	3	85999
87000	0	1	86999
87000	0	2	86999
87000	0	3	86999
88000	0	1	87999
88000	0	2	87999
88000	0	3	87999
89000	0	1	88999
89000	0	2	88999
89000	0	3	88999
90000	0	1	89999
90000	0	2	89999
90000	0	3	89999
91000	0	1	90999
91000	0	2	90999
91000	0	3	90999
92000	0	1	91999
92000	0	2	91999
92000	0	3	91999
93000	0	1	92999
93000	0	2	92999
93000	0	3	92999
94000	0	1	93999
