Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"OkasakiQueue/BST/Traverse a balanced tree of depth 14/setup",1.4301773036590646e-2,1.4156909907928535e-2,1.4512010539642402e-2,2.2171795980214918e-4,1.0565158255591148e-4,3.2973276560319527e-4
"OkasakiQueue/BST/Traverse a balanced tree of depth 14/test",0.11343879314767463,6.967591854440314e-2,0.13934444996224982,4.150875650705382e-2,1.680641025643013e-2,5.616961750561109e-2
"OkasakiQueue/BST/Traverse a balanced tree of depth 16/setup",5.7857366527191235e-2,5.7618518794647286e-2,5.829939457284553e-2,4.081916651443465e-4,1.4317378112293269e-4,5.625698036509169e-4
"OkasakiQueue/BST/Traverse a balanced tree of depth 16/test",0.13426260563241582,0.10301384540902717,0.2070628604541932,5.663117572775397e-2,1.0145538668333747e-3,7.212633279059551e-2
"OkasakiQueue/BST/Traverse a balanced tree of depth 18/setup",0.30110778423654183,0.2462307414661561,0.36681084247933965,7.865124398148557e-2,5.905896179054729e-2,8.999223343523087e-2
"OkasakiQueue/BST/Traverse a balanced tree of depth 18/test",0.6725697002063905,0.5637272319446718,0.7680815181385194,0.13697824238160294,0.10609186240498805,0.1572321225204379
"OkasakiQueue/QueueSort/Run QueueSort with 96 queues of 96 elements/setup",4.207238766061408e-2,2.8262134517303538e-2,5.1896043742767406e-2,1.52072863334406e-2,8.91547624205711e-3,2.1084092436922577e-2
"OkasakiQueue/QueueSort/Run QueueSort with 96 queues of 96 elements/test",3.021855159724823,3.0141339263569034,3.0300703487049256,1.0579811484369208e-2,5.858365000333399e-3,1.490522687760345e-2
"RealTimeQueue/BST/Traverse a balanced tree of depth 2/setup",1.6492688011773778e-6,1.6345968886172815e-6,1.670054010637514e-6,2.1440161089713995e-8,1.0045171838635123e-8,3.013551551590514e-8
"RealTimeQueue/BST/Traverse a balanced tree of depth 2/test",2.911821599105714e-6,2.7267020294377264e-6,3.1030809678343568e-6,2.501288780262559e-7,1.993813106591536e-7,2.7765101947771715e-7
"RealTimeQueue/BST/Traverse a balanced tree of depth 4/setup",1.0771279566648867e-5,1.0558784277497236e-5,1.105120063914959e-5,3.0921688349517703e-7,1.9166938725112104e-7,3.898616229066014e-7
"RealTimeQueue/BST/Traverse a balanced tree of depth 4/test",4.1536776163897724e-5,1.6549337895068906e-5,7.578104581935962e-5,3.7297553158330595e-5,2.0783760126980213e-5,4.616258718444735e-5
"RealTimeQueue/BST/Traverse a balanced tree of depth 6/setup",1.0746737139669445e-4,6.676059731311499e-5,1.6471109073025008e-4,6.151538456940659e-5,2.740136471412239e-5,8.649970971505994e-5
"RealTimeQueue/BST/Traverse a balanced tree of depth 6/test",6.82480520435742e-5,6.48104896212553e-5,7.525322338590375e-5,6.134981720028993e-6,1.7662322108623122e-6,8.915546605508543e-6
"RealTimeQueue/BST/Traverse a balanced tree of depth 8/setup",3.9910029931260015e-4,2.2064995331955807e-4,9.063239054222193e-4,3.7677728112343233e-4,2.4800516092466732e-5,4.76104731403386e-4
"RealTimeQueue/BST/Traverse a balanced tree of depth 8/test",8.694790510691347e-4,2.726935057200137e-4,1.8688184726593038e-3,8.956918640389692e-4,4.3646546678044267e-4,1.102439193141825e-3
