(100,0.000)
(200,0.000)
(300,0.000)
(400,0.643)
(500,0.496)
(600,1.003)
(700,1.344)
(800,1.584)
(900,2.264)
(1000,2.230)
(1100,2.599)
(1200,2.806)
(1300,3.140)
(1400,3.113)
(1500,3.370)
(1600,3.784)
(1700,4.142)
(1800,4.452)
(1900,4.510)
(2000,4.864)
(2100,5.082)
(2200,5.458)
(2300,5.580)
(2400,5.896)
(2500,6.379)
(2600,6.743)
(2700,7.076)
(2800,7.416)
(2900,7.861)
(3000,8.176)
(3100,9.178)
(3200,9.095)
(3300,9.218)
(3400,9.611)
(3500,10.031)
(3600,10.398)
(3700,10.894)
(3800,11.163)
(3900,11.631)
(4000,12.536)
(4100,12.645)
(4200,13.803)
(4300,13.530)
(4400,14.542)
(4500,14.792)
(4600,14.988)
(4700,15.543)
(4800,15.711)
(4900,16.186)
(5000,16.747)
(5100,17.371)
(5200,18.054)
(5300,18.115)
(5400,18.471)
(5500,19.413)
(5600,20.222)
(5700,20.092)
(5800,20.487)
(5900,21.063)
(6000,22.914)
(6100,22.424)
(6200,22.775)
(6300,22.889)
(6400,23.672)
(6500,24.292)
(6600,24.254)
(6700,25.169)
(6800,25.630)
(6900,26.139)
(7000,26.295)
(7100,25.835)
(7200,25.978)
(7300,26.566)
(7400,26.623)
(7500,27.069)
(7600,27.512)
(7700,27.808)
(7800,28.260)
(7900,28.667)
(8000,29.404)
