(100,0.000)
(200,0.000)
(300,0.000)
(400,0.321)
(500,0.248)
(600,0.602)
(700,1.176)
(800,1.296)
(900,1.258)
(1000,1.672)
(1100,1.900)
(1200,1.991)
(1300,2.066)
(1400,2.506)
(1500,2.527)
(1600,2.740)
(1700,2.923)
(1800,3.311)
(1900,3.436)
(2000,3.394)
(2100,3.787)
(2200,4.003)
(2300,4.239)
(2400,4.453)
(2500,4.686)
(2600,5.010)
(2700,5.090)
(2800,5.510)
(2900,5.496)
(3000,5.772)
(3100,5.934)
(3200,6.322)
(3300,6.568)
(3400,6.881)
(3500,6.984)
(3600,7.394)
(3700,7.474)
(3800,7.745)
(3900,8.192)
(4000,8.450)
(4100,8.897)
(4200,9.517)
(4300,10.126)
(4400,10.203)
(4500,10.173)
(4600,10.541)
(4700,10.911)
(4800,11.017)
(4900,11.413)
(5000,12.189)
(5100,12.046)
(5200,12.619)
(5300,12.743)
(5400,13.110)
(5500,13.966)
(5600,14.405)
(5700,14.483)
(5800,14.910)
(5900,14.869)
(6000,15.581)
(6100,16.180)
(6200,16.260)
(6300,16.643)
(6400,17.287)
(6500,17.356)
(6600,18.244)
(6700,18.332)
(6800,18.815)
(6900,18.891)
(7000,19.001)
(7100,18.923)
(7200,18.884)
(7300,19.284)
(7400,19.707)
(7500,19.991)
(7600,20.379)
(7700,28.277)
(7800,20.923)
(7900,21.139)
(8000,21.660)
