(100,0.000)
(200,0.000)
(300,0.000)
(400,0.000)
(500,0.000)
(600,0.201)
(700,0.504)
(800,0.720)
(900,0.377)
(1000,0.669)
(1100,0.500)
(1200,0.543)
(1300,0.826)
(1400,0.835)
(1500,1.053)
(1600,1.174)
(1700,1.157)
(1800,1.199)
(1900,1.611)
(2000,1.672)
(2100,1.726)
(2200,1.728)
(2300,1.860)
(2400,1.979)
(2500,2.126)
(2600,2.298)
(2700,2.347)
(2800,2.460)
(2900,2.532)
(3000,2.725)
(3100,2.689)
(3200,2.863)
(3300,2.881)
(3400,3.009)
(3500,3.236)
(3600,3.240)
(3700,3.268)
(3800,3.393)
(3900,3.487)
(4000,3.645)
(4100,3.703)
(4200,3.956)
(4300,4.046)
(4400,4.194)
(4500,4.191)
(4600,4.367)
(4700,4.380)
(4800,4.448)
(4900,4.643)
(5000,4.847)
(5100,4.811)
(5200,5.158)
(5300,5.117)
(5400,5.178)
(5500,5.349)
(5600,5.498)
(5700,5.531)
(5800,5.792)
(5900,5.848)
(6000,5.946)
(6100,6.084)
(6200,6.003)
(6300,6.079)
(6400,6.522)
(6500,6.734)
(6600,6.913)
(6700,6.876)
(6800,6.943)
(6900,6.882)
(7000,7.170)
(7100,7.021)
(7200,7.142)
(7300,7.258)
(7400,7.313)
(7500,7.308)
(7600,7.541)
(7700,7.667)
(7800,7.856)
(7900,7.973)
(8000,8.141)
