(100,0)
(200,0)
(300,0)
(400,0)
(500,0)
(600,2222)
(700,2222)
(800,1111)
(900,3333)
(1000,4444)
(1100,4444)
(1200,6666)
(1300,6666)
(1400,8888)
(1500,10000)
(1600,12222)
(1700,15555)
(1800,15555)
(1900,17777)
(2000,24444)
(2100,24444)
(2200,30000)
(2300,33333)
(2400,36666)
(2500,41111)
(2600,50000)
(2700,51111)
(2800,53333)
(2900,60000)
(3000,65555)
(3100,71111)
(3200,72222)
(3300,81111)
(3400,85555)
(3500,91111)
(3600,102222)
(3700,102222)
(3800,105555)
(3900,112222)
(4000,122222)
(4100,130000)
(4200,141111)
(4300,147777)
(4400,172222)
(4500,164444)
(4600,168888)
(4700,175555)
(4800,185555)
(4900,193333)
(5000,211111)
(5100,210000)
(5200,222222)
(5300,233333)
(5400,238888)
(5500,251111)
(5600,263333)
(5700,278888)
(5800,284444)
(5900,288888)
(6000,336666)
(6100,326666)
(6200,330000)
(6300,342222)
(6400,382222)
(6500,363333)
(6600,388888)
(6700,393333)
(6800,418888)
(6900,424444)
(7000,440000)
(7100,435555)
(7200,452222)
(7300,466666)
(7400,484444)
(7500,502222)
(7600,518888)
(7700,532222)
(7800,542222)
(7900,560000)
(8000,582222)
