(100,0)
(200,0)
(300,0)
(400,0)
(500,3333)
(600,4444)
(700,7777)
(800,8888)
(900,15555)
(1000,18888)
(1100,24444)
(1200,31111)
(1300,37777)
(1400,45555)
(1500,50000)
(1600,55555)
(1700,68888)
(1800,73333)
(1900,85555)
(2000,98888)
(2100,111111)
(2200,117777)
(2300,131111)
(2400,145555)
(2500,162222)
(2600,178888)
(2700,195555)
(2800,211111)
(2900,232222)
(3000,256666)
(3100,273333)
(3200,298888)
(3300,317777)
(3400,344444)
(3500,377777)
(3600,398888)
(3700,435555)
(3800,453333)
(3900,488888)
(4000,533333)
(4100,550000)
(4200,608888)
(4300,642222)
(4400,687777)
(4500,727777)
(4600,748888)
(4700,792222)
(4800,847777)
(4900,878888)
(5000,944444)
(5100,1052222)
(5200,1032222)
(5300,1070000)
(5400,1125555)
(5500,1211111)
(5600,1254444)
(5700,1311111)
(5800,1344444)
(5900,1380000)
(6000,1478888)
(6100,1575555)
(6200,1591111)
(6300,1658888)
(6400,1718888)
(6500,1843333)
(6600,1878888)
(6700,1936666)
(6800,2058888)
(6900,2155555)
(7000,2118888)
(7100,2110000)
(7200,2154444)
(7300,2252222)
(7400,2303333)
(7500,2356666)
(7600,2443333)
(7700,2534444)
(7800,2585555)
(7900,2676666)
(8000,2753333)
