(100,0.000)
(200,0.000)
(300,0.000)
(400,0.000)
(500,0.496)
(600,0.502)
(700,0.840)
(800,0.720)
(900,1.006)
(1000,1.003)
(1100,1.400)
(1200,1.267)
(1300,1.446)
(1400,1.747)
(1500,1.790)
(1600,1.859)
(1700,1.949)
(1800,2.112)
(1900,2.282)
(2000,2.406)
(2100,2.517)
(2200,2.615)
(2300,2.790)
(2400,2.927)
(2500,3.229)
(2600,3.277)
(2700,3.430)
(2800,3.691)
(2900,3.764)
(3000,3.912)
(3100,4.218)
(3200,4.339)
(3300,4.393)
(3400,4.555)
(3500,4.746)
(3600,4.859)
(3700,5.092)
(3800,5.200)
(3900,5.469)
(4000,5.722)
(4100,5.803)
(4200,6.253)
(4300,6.176)
(4400,6.583)
(4500,6.765)
(4600,6.859)
(4700,6.996)
(4800,7.136)
(4900,7.325)
(5000,7.614)
(5100,7.863)
(5200,8.205)
(5300,8.168)
(5400,8.331)
(5500,8.796)
(5600,9.394)
(5700,9.280)
(5800,9.301)
(5900,9.682)
(6000,10.690)
(6100,10.277)
(6200,10.477)
(6300,10.459)
(6400,10.744)
(6500,11.107)
(6600,10.986)
(6700,11.580)
(6800,11.570)
(6900,12.230)
(7000,12.160)
(7100,11.951)
(7200,11.875)
(7300,12.127)
(7400,12.102)
(7500,12.303)
(7600,12.577)
(7700,12.702)
(7800,12.858)
(7900,12.997)
(8000,13.433)
