Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"PairQueue/InsertsDeletes/Insert 32768 followed by as many deletes/test",0.12765017022261252,6.998019684919944e-2,0.18283582200178733,7.492520926653069e-2,5.8266085710898835e-2,8.230678295838144e-2
"PairQueue/InsertsDeletes/Insert 65536 followed by as many deletes/setup",3.276916016707053e-2,3.251080979475608e-2,3.3210091487260965e-2,4.3318724943513685e-4,1.0071789627945692e-4,6.188529014627891e-4
"PairQueue/InsertsDeletes/Insert 65536 followed by as many deletes/test",0.1171513604081594,8.568072785505881e-2,0.21039815415510765,6.962146833610654e-2,4.616095435338055e-4,8.570544630792155e-2
"PairQueue/InsertsDeletes/Insert 131072 followed by as many deletes/setup",8.418198098311057e-2,6.675801743635765e-2,0.1346074150956594,3.766882600779287e-2,1.1104892723875193e-3,4.731397482576353e-2
"PairQueue/InsertsDeletes/Insert 131072 followed by as many deletes/test",0.21295252312788596,0.19826012124189962,0.2524866627610647,2.9857678007638805e-2,2.183986721437532e-3,3.880112363490939e-2
"PairQueue/Inserts/Insert 0 into queue of size 1/setup",5.357305176324423e-7,5.159468483027381e-7,5.463832626561291e-7,1.797066301378124e-8,7.173931661428744e-9,2.3616840173812187e-8
"PairQueue/Inserts/Insert 0 into queue of size 1/test",5.884645013542581e-7,5.778623693320913e-7,6.005874799526426e-7,1.4527105497535416e-8,7.134982428401252e-9,1.920047749034583e-8
"PairQueue/Inserts/Insert 0 into queue of size 2/setup",7.783688770437667e-6,1.3112037155114201e-6,1.5259708875543982e-5,8.980595089219408e-6,7.071837017391596e-6,1.0303505845477821e-5
"PairQueue/Inserts/Insert 0 into queue of size 2/test",3.9276005946362765e-6,1.1113586912849485e-6,7.608803087548624e-6,4.144932393019098e-6,2.6628147361662034e-6,5.050966742266995e-6
"PairQueue/Inserts/Insert 0 into queue of size 4/setup",2.3057302470329842e-6,2.164013400898388e-6,2.6717220782099215e-6,2.778668414213534e-7,3.011105637796793e-8,3.6883681469476527e-7
